=== ENDURANCE TEST: 30 minutes sustained load ===
Monitor server CPU/Memory with: ssh + htop

[10s] Requests: 3532, Errors: 0
[20s] Requests: 7227, Errors: 0
[30s] Requests: 10752, Errors: 0
[40s] Requests: 14460, Errors: 0
[50s] Requests: 18198, Errors: 0
[60s] Requests: 21933, Errors: 0
[70s] Requests: 25674, Errors: 0
[80s] Requests: 29013, Errors: 0
[90s] Requests: 32785, Errors: 0
[100s] Requests: 36481, Errors: 0
[110s] Requests: 40254, Errors: 0
[120s] Requests: 44005, Errors: 0
[130s] Requests: 47779, Errors: 0
[140s] Requests: 51522, Errors: 0
[150s] Requests: 55225, Errors: 0
[160s] Requests: 58973, Errors: 0
[170s] Requests: 62678, Errors: 0
[180s] Requests: 66439, Errors: 0
[190s] Requests: 70205, Errors: 0
[200s] Requests: 73958, Errors: 0
[210s] Requests: 77673, Errors: 0
[220s] Requests: 81406, Errors: 0
[230s] Requests: 85100, Errors: 0
[240s] Requests: 88440, Errors: 0
[250s] Requests: 91921, Errors: 0
[260s] Requests: 95622, Errors: 0
[270s] Requests: 99019, Errors: 0
[280s] Requests: 102712, Errors: 0
[290s] Requests: 106441, Errors: 0
[300s] Requests: 110154, Errors: 0
[310s] Requests: 113914, Errors: 0
[320s] Requests: 117639, Errors: 0
[330s] Requests: 121380, Errors: 0
[340s] Requests: 125134, Errors: 0
[350s] Requests: 128880, Errors: 0
[360s] Requests: 132647, Errors: 0
[370s] Requests: 136341, Errors: 0
[380s] Requests: 140073, Errors: 0
[390s] Requests: 143791, Errors: 0
[400s] Requests: 147554, Errors: 0
[410s] Requests: 151275, Errors: 0
[420s] Requests: 155041, Errors: 0
[430s] Requests: 158804, Errors: 0
[440s] Requests: 162569, Errors: 0
[450s] Requests: 166309, Errors: 0
[460s] Requests: 170069, Errors: 0
[470s] Requests: 173769, Errors: 0
[480s] Requests: 177538, Errors: 0
[490s] Requests: 181267, Errors: 0
[500s] Requests: 185010, Errors: 0
[510s] Requests: 188792, Errors: 0
[520s] Requests: 192527, Errors: 0
[530s] Requests: 195839, Errors: 0
[540s] Requests: 199540, Errors: 0
[550s] Requests: 203276, Errors: 0
[560s] Requests: 207027, Errors: 0
[570s] Requests: 210429, Errors: 0
[580s] Requests: 214149, Errors: 0
[590s] Requests: 217922, Errors: 0
[600s] Requests: 221669, Errors: 0
[610s] Requests: 225430, Errors: 0
[620s] Requests: 229192, Errors: 0
[630s] Requests: 232943, Errors: 0
[640s] Requests: 236720, Errors: 0
[650s] Requests: 240467, Errors: 0
[660s] Requests: 244186, Errors: 0
[670s] Requests: 247946, Errors: 0
[680s] Requests: 251712, Errors: 0
[690s] Requests: 255457, Errors: 0
[700s] Requests: 259215, Errors: 0
[710s] Requests: 262931, Errors: 0
[720s] Requests: 266680, Errors: 0
[730s] Requests: 270453, Errors: 0
[740s] Requests: 274165, Errors: 0
[750s] Requests: 277885, Errors: 0
[760s] Requests: 281650, Errors: 0
[770s] Requests: 285389, Errors: 0
[780s] Requests: 289117, Errors: 0
[790s] Requests: 292881, Errors: 0
[800s] Requests: 296600, Errors: 0
[810s] Requests: 300318, Errors: 0
[820s] Requests: 304092, Errors: 0
[830s] Requests: 307820, Errors: 0
[840s] Requests: 311583, Errors: 0
[850s] Requests: 315318, Errors: 0
[860s] Requests: 319086, Errors: 0
[870s] Requests: 322543, Errors: 0
[880s] Requests: 326284, Errors: 0
[890s] Requests: 330016, Errors: 0
[900s] Requests: 333776, Errors: 0
[910s] Requests: 337514, Errors: 0
[920s] Requests: 341296, Errors: 0
[930s] Requests: 345014, Errors: 0
[940s] Requests: 348748, Errors: 0
[950s] Requests: 352491, Errors: 0
[960s] Requests: 356249, Errors: 0
[970s] Requests: 360000, Errors: 0
[980s] Requests: 363776, Errors: 0
[990s] Requests: 367529, Errors: 0
[1000s] Requests: 371297, Errors: 0
[1010s] Requests: 375070, Errors: 0
[1020s] Requests: 378829, Errors: 0
[1030s] Requests: 382608, Errors: 0
[1040s] Requests: 386337, Errors: 0
[1050s] Requests: 390086, Errors: 0
[1060s] Requests: 393783, Errors: 0
[1070s] Requests: 397509, Errors: 0
[1080s] Requests: 401219, Errors: 0
[1090s] Requests: 404929, Errors: 0
[1100s] Requests: 408686, Errors: 0
[1110s] Requests: 412414, Errors: 0
[1120s] Requests: 416159, Errors: 0
[1130s] Requests: 419882, Errors: 0
[1140s] Requests: 423647, Errors: 0
[1150s] Requests: 427336, Errors: 0
[1160s] Requests: 431028, Errors: 0
[1170s] Requests: 434778, Errors: 0
[1180s] Requests: 437777, Errors: 0
[1190s] Requests: 441507, Errors: 0
[1200s] Requests: 445174, Errors: 0
[1210s] Requests: 448279, Errors: 0
[1220s] Requests: 452034, Errors: 0
[1230s] Requests: 455751, Errors: 0
[1240s] Requests: 459502, Errors: 0
[1250s] Requests: 463226, Errors: 0
[1260s] Requests: 466912, Errors: 0
[1270s] Requests: 470648, Errors: 0
[1280s] Requests: 474411, Errors: 0
[1290s] Requests: 478149, Errors: 0
[1300s] Requests: 481884, Errors: 0
[1310s] Requests: 485639, Errors: 0
[1320s] Requests: 489353, Errors: 0
[1330s] Requests: 493090, Errors: 0
[1340s] Requests: 496851, Errors: 0
[1350s] Requests: 500549, Errors: 0
[1360s] Requests: 504301, Errors: 0
[1370s] Requests: 508031, Errors: 0
[1380s] Requests: 511746, Errors: 0
[1390s] Requests: 515530, Errors: 0
[1400s] Requests: 518960, Errors: 0
[1410s] Requests: 522380, Errors: 0
[1420s] Requests: 525811, Errors: 0
[1430s] Requests: 529563, Errors: 0
[1440s] Requests: 533264, Errors: 0
[1450s] Requests: 536997, Errors: 0
[1460s] Requests: 540725, Errors: 0
[1470s] Requests: 544490, Errors: 0
[1480s] Requests: 546576, Errors: 0
[1490s] Requests: 549624, Errors: 0
[1500s] Requests: 552946, Errors: 0
[1510s] Requests: 556631, Errors: 0
[1520s] Requests: 559910, Errors: 0
[1530s] Requests: 562516, Errors: 0
[1540s] Requests: 566192, Errors: 0
[1550s] Requests: 569909, Errors: 0
[1560s] Requests: 573669, Errors: 0
[1570s] Requests: 577393, Errors: 0
[1580s] Requests: 581011, Errors: 0
[1590s] Requests: 584600, Errors: 0
[1600s] Requests: 588222, Errors: 0
[1610s] Requests: 591858, Errors: 0
[1620s] Requests: 595529, Errors: 0
[1630s] Requests: 599225, Errors: 0
[1640s] Requests: 602899, Errors: 0
[1650s] Requests: 606577, Errors: 0
[1660s] Requests: 610175, Errors: 0
[1670s] Requests: 613536, Errors: 0
[1680s] Requests: 617011, Errors: 0
[1690s] Requests: 620770, Errors: 0
[1700s] Requests: 624518, Errors: 0
[1710s] Requests: 628232, Errors: 0
[1720s] Requests: 631941, Errors: 0
[1730s] Requests: 635381, Errors: 0
[1740s] Requests: 638965, Errors: 0
[1750s] Requests: 642625, Errors: 0
[1760s] Requests: 646256, Errors: 0
[1770s] Requests: 649967, Errors: 0
[1780s] Requests: 653454, Errors: 0
[1790s] Requests: 657184, Errors: 0

=== Endurance Test Complete ===
Total requests: 660709
Total errors: 0
Success rate: 100.0%
